,ID,class,formula,interface_atom,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean FirstIonizationEnergy,MagpieData mean CovalentRadius,MagpieData mean NValence,PymatgenData mean X,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,MagpieData mean CovalentRadius_A,MagpieData mean NsValence_A,MagpieData mean NValence_A,MagpieData mean NsUnfilled_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean Polarizability_interface,MagpieData mean NValence_interface
94,400403cae96cc4524f2dfa1c69f3244b,TMDC-T,Cr1 Te2,Te1,164,16.580733987262775,0.8195026597038643,0.0239212068215953,3.688880304286048,3.417092955744595e-09,2.3497676558394494,1.7096650089224297,-16.388408221196208,-0.190069463145285,5.167145921349487,-1.0872075963174908,4.079938325031996,7.533333333333334,8.261903333333334,138.33333333333334,12.666666666666666,1.9533333333333331,16.05,11.6,6.76651,7140.0,49.0,139.0,1.0,6.0,1.0,1.66,1.4,7.23,5.5,16.0
95,a406b79ff01fc5a4ab9bb6798bd52f2f,TMDC-T,Hg1 S2,S1,164,33.5771800229991,0.4401693403115455,0.6729004840528979,3.872898606668923,-3.0960439090471433e-10,1.8880257268652807,1.548276961789246,-7.416367329150407,0.541723165281819,6.1106388363968085,-3.009006509942757,3.1016323264540517,3.72,10.38584,114.0,12.666666666666666,2.3866666666666667,15.05,5.36,10.4375,13534.0,71.0,132.0,2.0,26.0,0.0,2.0,1.5,14.09,2.9,6.0
96,cafd1436a9f6bf6934213c025558d0fd,TMDC-T,Ru1 Se2,Se1,164,26.214180487622748,0.4312612262397142,0.3086405411816433,3.476084526101798,-7.195346338728865e-09,2.3110371530435554,1.9093342652582117,-16.759985045509872,-0.1103893535410591,5.122386716641421,-0.9655838114152004,4.156802905226221,5.713333333333334,8.955093333333332,128.66666666666666,13.333333333333334,2.433333333333333,13.670000000000002,9.6,7.3605,12370.0,56.0,146.0,1.0,8.0,1.0,2.2,1.3,8.17,3.77,16.0
97,12d7a09620707295bf2261c499c4f04c,TMDC-T,W1 S2,S1,164,32.218887716918815,0.3799291380149541,0.2956097867188632,3.2098763610009344,-2.4115161618541613e-14,2.5416492192785607,0.7755584688298047,-21.37516864932781,-0.5779387873501763,4.927037796160875,-0.3318190011399977,4.595218795020878,5.633333333333333,9.528016666666668,124.0,10.666666666666666,2.5066666666666664,13.51,11.1,7.86403,19250.0,51.0,162.0,2.0,20.0,0.0,2.36,1.35,9.47,2.9,6.0
98,ce0d091febc4973ba987a73dd260000e,TMDC-T,Cu1 Te2,Te1,164,79.35349832770228,0.4987643908104927,0.2130966346849738,3.499376486289482,-1.8880652576757674e-14,2.6661933513351523,2.1949978435208197,-9.62438820838418,0.1537978145190054,4.9313139965707045,-0.6267865527371816,4.304527443833523,5.716666666666666,8.58186,136.0,14.333333333333334,2.033333333333333,16.01,6.15,7.72638,8920.0,64.0,132.0,1.0,11.0,1.0,1.9,1.35,7.11,5.5,16.0
99,e74daf60d9bd145fa8ec83f9636ad318,TMDC-T,Ge1 S2,S1,164,3.9662280447401703,0.3611728491918781,0.1226502716794524,3.443558533918335,1.9809012717395892e-14,1.2430255667516918,0.0,-13.343084222306183,-0.2236994562370764,6.068050001679763,-2.350098929373733,3.71795107230603,3.88,9.539816666666669,110.0,8.666666666666666,2.39,14.896666666666668,5.84,7.89943,5323.0,79.0,120.0,2.0,14.0,0.0,2.01,1.25,13.63,2.9,6.0
100,77de9f408a8b20c8c92e993a6086404d,TMDC-T,Te2 Os1,Te1,164,21.26445855234832,0.4578484599957347,0.318999194210761,3.8599759605025694,3.5418386398743313e-13,3.189327840953037,3.41596623772472,-16.85653242662707,0.2479626580832518,4.604058900569278,-0.4519948421711945,4.152064058398084,6.5,8.819143333333335,140.0,18.0,2.1333333333333333,16.44666666666667,8.5,8.43823,22590.0,57.0,144.0,2.0,22.0,0.0,2.2,1.3,8.42,5.5,16.0
101,3937b14c92d3bac44922692e25128ba0,TMDC-T,Sn1 Se2,Se1,164,4.615334773911817,0.4056888208074126,0.0,3.864841015994623,-3.909546980438453e-14,1.9529849640026664,0.0,-12.064124266519803,-0.3474164432017138,5.622377359201354,-1.991329733719874,3.63104762548148,4.866666666666666,8.949566666666668,126.33333333333331,15.333333333333334,2.353333333333333,16.37666666666667,7.06,7.34392,7310.0,80.0,139.0,2.0,14.0,0.0,1.96,1.45,16.29,3.77,16.0
102,f237f2fa87c4b20474d5a421cd95b020,TMDC-T,V1 Se2,Se1,164,25.334139911771803,0.398660679002012,0.0160649635932408,3.3473423182362643,-4.94915583047753e-10,1.9666624892649864,1.7208136899421418,-17.566254236836077,-0.6922021525393767,5.013071153105551,-0.9223689305507352,4.090702222554816,6.646666666666667,8.750323333333334,131.0,12.333333333333334,2.243333333333333,13.72,12.4,6.74619,6110.0,46.0,153.0,2.0,5.0,0.0,1.63,1.35,8.32,3.77,16.0
103,936e0f99488bd8b4f9b0995c96c50df7,TMDC-T,Hg1 Se2,Se1,164,85.28223403643445,0.4762452420029103,0.5270430685478145,3.86662875308102,5.743137661834983e-10,2.532587869807782,4.425283848018648,-6.760878020585663,0.3633772743366599,5.826892874692184,-2.339890017399177,3.487002857293007,4.3,9.98076,124.0,19.33333333333333,2.3666666666666667,15.643333333333336,5.36,10.4375,13534.0,71.0,132.0,2.0,26.0,0.0,2.0,1.5,14.09,3.77,16.0
