,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean FirstIonizationEnergy,MagpieData mean CovalentRadius,MagpieData mean NValence,PymatgenData mean X,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,MagpieData mean CovalentRadius_A,MagpieData mean NsValence_A,MagpieData mean NValence_A,MagpieData mean NsUnfilled_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean Polarizability_interface,MagpieData mean NValence_interface
MagpieData mean FirstIonizationEnergy_A,1.6846270558532827e-16,0.15549784578005563,0.10986914364869652,0.5740018730320107,0.23422416314345978,-0.012757790554925765,0.32516759598237627,0.26601427516542453,0.5476235170567821,0.6874063828806828,-0.1995025295877216,0.00727140133136969,-0.24705389191375893,-0.6367706384902281,0.6292831509803309,-0.2694800335008833,0.45733718416894836,0.3782965348043601,-0.05376554022926263,-0.7302812847873548,1.0,0.6183108523518877,0.5349394036344167,-0.5458042810222151,-0.07670530109805802,0.7175913233015181,-0.02250671385022543,0.6155652832696438,-0.26150216757782085,-0.09128887184107042,8.510005036426642e-17,-9.16874518226786e-17
MagpieData mean Density_A,-3.465107809821981e-16,0.21925478643437643,0.05448218940898202,0.36415097276529507,0.0341420760347157,-0.005754039281261245,0.6349777443209091,0.2901902717272597,-0.05749603038636483,0.37859841577645925,-0.3639561775501656,0.36988170133293974,0.18448798256667906,-0.2867138672756338,0.3890926014533297,-0.009069536678903678,0.4980698388283086,0.35083065068800495,-0.1145696347452286,-0.32881819403112167,0.6183108523518877,1.0,0.23662636356020192,-0.01836942010851213,-0.07298492765819468,0.7815034663994127,0.08198818874750226,0.5708727122814403,-0.2482214196794311,-0.1945285522759979,4.1575385923177134e-17,-3.3149781345267432e-18
MagpieData mean MendeleevNumber_A,2.7322778354735915e-16,0.04738323401335592,0.05911392937863824,0.35730445695754537,0.2504349125725989,0.14758494194565433,0.1236529732132448,0.05978682805040819,0.5728699082171805,0.6844225851530883,-0.1282582383248392,-0.03553787927359093,-0.2304538589376559,-0.7198948786966521,0.3366283535026051,-0.33754313751740533,0.3497592428069231,0.38774960781445234,0.07851160023526747,-0.8256124342870371,0.5349394036344167,0.23662636356020192,1.0,-0.6836591457009231,-0.08755902314481193,0.5487946455498338,0.03543087421564117,0.6309473527042362,-0.13578478598745855,0.13330537331816422,6.05766832862921e-17,1.0838117138446068e-17
MagpieData mean CovalentRadius_A,6.7122634823839e-16,-0.09732325064865247,-0.0822570034186811,-0.33389591436978816,0.004658004086818652,-0.0043892373757595735,0.09138507234041934,-0.18573035525311804,-0.5487294574696312,-0.7518974546090856,0.19410257571183115,0.024198202336134924,0.29606889448225077,0.7725752067087077,-0.343465437780214,0.49373015725744174,-0.11550010428648357,-0.32468316328485025,0.2041000046467066,0.8860289411078883,-0.5458042810222151,-0.01836942010851213,-0.6836591457009231,1.0,0.15201050760434218,-0.1812270586023094,-0.10844544927334861,-0.5283254404740569,0.46364281483037373,0.34654276861174876,-2.2521115768138263e-17,-5.587802306732666e-17
MagpieData mean NsValence_A,-6.88045413011216e-17,-0.18634472457976442,-0.2821009957831912,-0.04078600851138713,-0.015777718146491107,0.05555210912726375,0.051951298259744004,-0.050934557522857006,-0.17063410208879098,-0.17273875713667292,0.18795484845587065,-0.07870377294199249,0.10477122914458668,0.1942977099092996,-0.04826935357188065,0.07505217182427569,0.10355851481136363,-0.22870140162473324,0.18801691988517538,0.22283059652409143,-0.07670530109805802,-0.07298492765819468,-0.08755902314481193,0.15201050760434218,1.0,0.16248994014703586,-0.7370434740955019,-0.37214362311856647,0.19983507356468544,0.3192351909822131,-4.576347455895759e-17,-4.9305921099956013e-17
MagpieData mean NValence_A,-1.9858556348455067e-16,0.08184712341671482,0.005839121118893847,0.49652497227421966,0.33814184137732367,0.15499589058383545,0.5151501815577184,0.1467125952973656,0.36082727578077867,0.4972079966891381,-0.16481552304340077,0.06331342718933627,-0.10202722721989735,-0.43829792909891574,0.4515681290433247,-0.08947726414302173,0.637322622666082,0.3411605764714042,0.1581655530857164,-0.5026625843504642,0.7175913233015181,0.7815034663994127,0.5487946455498338,-0.1812270586023094,0.16248994014703586,1.0,-0.12867826593760306,0.5551375378171568,0.09896415792118733,0.2685503548136102,4.554613848228323e-17,1.8495132005835256e-17
MagpieData mean NsUnfilled_A,-2.150782788772055e-16,0.2017445861321046,0.015472904093127479,0.06394407741904387,-0.13349489604872614,-0.05443354146958822,0.015328486468996476,0.2005259624501933,0.02496310197199077,0.1456117434703283,-0.09670215946698146,0.11901867045165229,0.08596310728604992,-0.047765747776111936,-0.014163095809882974,-0.053542788723584506,-0.0820095699274767,0.19354429159773445,-0.1770338693216155,-0.0547802137006087,-0.02250671385022543,0.08198818874750226,0.03543087421564117,-0.10844544927334861,-0.7370434740955019,-0.12867826593760306,1.0,0.314935865707033,-0.22351042051877112,-0.30058699566890495,-6.944343880273726e-18,1.3371888072604693e-17
PymatgenData mean X_A,-1.7338245067305236e-15,0.28113295221355256,0.12724345974572132,0.4751224901326163,0.1271139608872208,0.09647544972716562,0.30757903048768576,0.2233537266513999,0.37641414812441654,0.698403748293716,-0.3348956670948002,0.20415905702070272,-0.07281793120537866,-0.644199732060543,0.38736486109002144,-0.2608502028083635,0.3538017115420221,0.6145514457784164,-0.08356553519216418,-0.7388013509923518,0.6155652832696438,0.5708727122814403,0.6309473527042362,-0.5283254404740569,-0.37214362311856647,0.5551375378171568,0.314935865707033,1.0,-0.2898360417513737,-0.14188648342337185,-1.1124176976863496e-17,-1.3600311183386457e-17
PymatgenData mean atomic_radius_A,2.6213768965626902e-15,-0.18179086389962662,-0.04430859299122094,-0.044232510992194114,0.46439968046135843,0.2805150051733767,-0.11749982387252246,-0.26945250171520446,0.10830037091299725,-0.346220701891802,0.26669367089387447,-0.3300109871749766,-0.2402308249458286,0.3179744872575602,-0.1645589080015576,0.2289144398774835,0.06307209667627149,-0.17811915849700022,0.4277390393132682,0.36466947916226033,-0.26150216757782085,-0.2482214196794311,-0.13578478598745855,0.46364281483037373,0.19983507356468544,0.09896415792118733,-0.22351042051877112,-0.2898360417513737,1.0,0.7262609875170387,7.822183579753547e-17,1.6224677199576705e-16
DemlData mean molar_vol_A,4.815098685969095e-16,-0.22767252027490406,-0.07711250399455497,0.12976344640086013,0.5371559812241637,0.20784301909630024,-0.06387990911970533,-0.25074723831227386,0.3198345663182078,-0.20097809873895062,0.4047904462621975,-0.4303572000090333,-0.23898686085434379,0.18928801458200759,-0.05744654892158802,0.17109861564310813,0.17115321644771694,-0.08719654352424862,0.5889605068497955,0.2170852205301821,-0.09128887184107042,-0.1945285522759979,0.13330537331816422,0.34654276861174876,0.3192351909822131,0.2685503548136102,-0.30058699566890495,-0.14188648342337185,0.7262609875170387,1.0,1.513086570136028e-16,-3.6452157638506484e-17
MagpieData mean Polarizability_interface,6.635279585506191e-16,0.15113058816993383,-0.09358117652618834,-0.1341830280404791,0.3994340195468635,0.11142249818472226,0.672375074865497,0.08981872194477535,0.27517067927220834,0.24461824662886783,-0.4881046591429866,0.5557549003792056,0.3537601768171948,0.4895903661861996,-0.7705199581283537,0.861554733789669,0.5832363933299514,-0.7583531226575082,0.7972240970544091,-3.5588282817083107e-17,8.510005036426642e-17,4.1575385923177134e-17,6.05766832862921e-17,-2.2521115768138263e-17,-4.576347455895759e-17,4.554613848228323e-17,-6.944343880273726e-18,-1.1124176976863496e-17,7.822183579753547e-17,1.513086570136028e-16,1.0,0.756862958780326
MagpieData mean NValence_interface,1.4563176428371226e-17,0.09945853502798586,-0.12342680779110082,-0.17965248737805312,0.338394984757305,0.05961479658894233,0.6334277058817076,0.06463709800846447,0.25230001655504125,0.17048846849551802,-0.4504307010114166,0.46948141780936464,0.24919206606797398,0.37055281314202976,-0.6495139980286451,0.7292835113709071,0.7705970896895644,-0.43193615588591766,0.5167834613977225,4.230128231071157e-18,-9.16874518226786e-17,-3.3149781345267432e-18,1.0838117138446068e-17,-5.587802306732666e-17,-4.9305921099956013e-17,1.8495132005835256e-17,1.3371888072604693e-17,-1.3600311183386457e-17,1.6224677199576705e-16,-3.6452157638506484e-17,0.756862958780326,1.0
